Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41931,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41931 - Beme: Where Social Media Meets Honesty,"675 words. List 4-8 elements of the Beme app that distinguish it from other social media platforms and video creation apps. Explain how Beme is different and offer a balanced review, providing both positive and negative points about it, then leaving the reader to form their own opinion. You’re writing for avid app users who are interested in the latest releases and developments. Include the AT with a mention of the technology that it’s compatible with.",https://itunes.apple.com/us/app/beme-share-video.-honestly./id1005178547?mt=8,https://www.semrush.com/blog/our-first-day-on-beme-a-haphazard-app-review/,http://www.psfk.com/2016/05/beme-video-editing-social-media-platform-create-empathy-psfk-2016-ny-events.html,webapprater.com,ipad pro long-tail variation (exact match keyword in a phrase match format),https://explore.t-mobile.com/ipad-pro,,,Example AT: the iPad Pro&#039;s 10hr battery life
41932,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41932 - # Reasons Why The iPhone 6 is a Good Buy,"675 words. Write 4 to 8 reasons why the iPhone 6 makes for a good buy, even for the budget-conscious consumer. The iPhone 6 is an older device, but it represented the best Apple had to offer at the time it was released. The technology in the phone has staying power and won&#039;t be outstripped by its successors for a while. Focus on a female audience in their 30s who want a phone that keeps up with the times. Consider anchoring the URL in any sentence that mentions a benefit of the iPhone 6.",http://www.techradar.com/us/news/phone-and-communications/mobile-phones/iphone-6s-vs-iphone-6-should-i-upgrade--1302313,http://www.cultofmac.com/388624/is-iphone-6s-really-worth-the-upgrade/,http://www.macworld.com/article/3047219/iphone-ipad/iphone-buying-guide-should-you-buy-an-iphone-se-a-6s-plus-or-wait-for-the-next-one.html,girlsjustwannahavefunds.com,iphone 6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6.html,,,Example AT: purchasing an iPhone 6 from T-Mobile
41934,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41934 - # Smartphone Features That Are Perfect For Seniors,"675 words. Write about 4 to 8 smartphone features that are suitable for seniors. As people age, cognitive function isn&#039;t so sharp. But the smartphone makes perfect sense due the physical interface and large screens. Write about physical features and apps that help older users adapt to the phone without getting confused. Appeal to those 50 and up who are looking to keep up with changing technology, but are intimidated by the ever changing landscape of smartphones. Consider anchoring the client URL in a sentence that discusses the features of the phone and why it&#039;s a good choice for the older user.",http://www.pewresearch.org/fact-tank/2015/04/29/seniors-smartphones/,https://www.ageinplacetech.com/blog/smartphone-usage-older-adults-why,http://www.dummies.com/how-to/content/10-things-the-samsung-galaxy-s6-offers-that-the-ga.html,livingbetter50.com,samsung galaxy s6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6.html,,,Example AT: the easy to use interface of the samsung galaxy s6
41935,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41935 - # Apps To Help Employees Keep Track of Their Work,"675 words. Write about 4 to 8 Android apps that help employees keep an eye on the progress of a project without needing to be at a computer. It&#039;s important to keep everyone who&#039;s working on a project on track, but sometimes things go wrong and communication isn&#039;t always the best. Management apps help everyone see what&#039;s going on and where the project stands. Focus on an audience of start-up businesses who are looking to streamline their operations without spending a lot of money. Consider anchoring the URL to a sentence that talks about using a phone with the processing power to run project management apps.",https://www.quora.com/What-is-the-best-project-management-app-for-the-Android-users,http://blog.capterra.com/free-open-source-project-management-software/,http://www.nirmaltv.com/2015/03/07/best-project-management-app-for-android/,inspiredmagz.com,"samsung galaxy s6 unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6.html,,,Example AT: click here for more information
41936,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41936 - # Ways to Protect Your Home From Your Smartphone,"675 words. List 4-8 ways that you someone could protect their home directly from their smartphone. You can talk about cameras that can be monitored from your smartphone, apps connected to security systems, technology that allows you to lock doors from your phone, etc. Your target audience is tech-minded. You can link to your target URL by mentioning using these apps or services on the iPhone 5S. ",http://www.securityoptions.com/top-10-apps-for-home-security-systems/,https://itunes.apple.com/us/app/athome-camera-mobile-home/id305567000?mt=8,http://www.wired.com/2013/06/smart-locks/,infinigeek.com,iPhone 5S branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-5s.html,,,downloaded to T-Mobile&#039;s samsung galaxy s7 
41937,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41937 - # Reasons Why The iPhone 5S is Not Obsolete,"675 words. Write 4 to 8 reasons why the iPhone 5S has kept its relevancy despite being on the market for almost three years. Smartphones aren&#039;t known for their staying power, and the iPhone range is no exception. But the iPhone 5S has managed to keep itself relevant even though it&#039;s nearing the end of its OS update life. Discuss the reasons why the phone is still viable even three years later and the features that have kept it so. Appeal to a budget-conscious, tech-minded audience that&#039;s seeking an entry-level iPhone. You can link to your target URL in any section by mentioning an appealing feature of the 5S.",https://www.quora.com/Is-iPhone-5s-out-of-date,http://www.trustedreviews.com/opinions/iphone-se-vs-iphone-5s,http://lowendmac.com/2014/iphone-5-what-does-the-future-hold-for-it/,damngeeky.com,iPhone 5S long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/cell-phones/apple-iphone-5s.html,,,Example AT: the iPhone 5s has 1080p HD video recording 
41939,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41939 - The # Best Apps for Keeping Track of Your Kids,"675 words. Make a list of 4 to 8 apps that parents can use to track their children’s&#039; locations and activities. The resource links include plenty of apps, so choose a few that stand out as good options. You can include the client link and keyword in any section, but try to emphasize an aspect of the iPhone 6 Plus that makes it particularly useful. Your audience consists of mothers who are looking for advice.",http://www.parents.com/parenting/technology/best-apps-for-paranoid-parents/,http://www.wareable.com/internet-of-things/the-best-kids-trackers,http://www.huffingtonpost.com/entry/how-to-track-your-kids-without-them-knowing-youre-on-their-tail_us_55afaff1e4b07af29d56f544,cafemom.com,"iPhone 6 Plus unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/apple-iphone-6-plus.html,,,Example AT: click for more info
41940,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41940 - # Best Apps for Learning About New Technology,"675 words. Make a list of 4 to 8 apps that can teach people about new technology. You can discuss education apps, news apps, and social media apps where scientists share info about their research (like Twitter). You can include the client link and keyword in any section, but try to mention a feature of the iPhone 6s Plus that makes it stand out as a great smartphone. Your target audience is interested in technology. ",http://www.teachthought.com/the-future-of-learning/technology/best-teaching-and-learning-apps-for-2016/,http://www.sciencemag.org/news/2014/09/top-50-science-stars-twitter,https://www.google.com/edu/,techiesense.com,iPhone 6s Plus branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6s-plus.html,,,Example AT: on T-Mobile&#039;s iPhone 6s Plus
41941,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41941 - # Ways to Connect With Other Designers,"675 words. Make a list of 4 to 8 ways graphic designers can meet other people in their field. You may want to suggest things such as using Meetup to meet locals, following popular graphic designers on Twitter, and taking design classes. You can include the client keyword and URL in a section about meeting people through apps. Try to mention an aspect of the iPhone 6s plus (such as its camera) that makes it a good option. Your target audience is designers. ",http://www.meetup.com/topics/graphicdesign/,http://www.animationcareerreview.com/articles/top-50-graphic-design-schools-and-colleges-us-%E2%80%93-2015,https://www.nyfa.edu/student-resources/10-twitter-accounts-for-graphic-designers/,92pixels.com,iPhone 6s Plus long-tail variation (exact match keyword in a phrase match format),http://www.t-mobile.com/cell-phones/apple-iphone-6s-plus.html,,,Example AT: T-Mobile&#039;s iPhone 6s has a 12 megapixel camera
41942,covario (iProspect),CON114011 T-Mobile A-2 Q2 June 16,lcolarado1,Attention,41942 - # Smart Ways to Save Money While Traveling,"675 words. Make a list of 4 to 8 things people can do to save money while traveling. Try to focus on &quot;smart&quot; things that most people wouldn&#039;t think of. You can include the client link and keyword in a section about taking a smartphone while traveling because it fills the role of so many other devices (navigation, translation, etc.). Make sure you mention an aspect of the LG v10 that makes it particularly useful (such as its size, camera, or battery life). Your target audience is interested in travel.",http://www.stitch.net/blog/2015/04/5-best-travel-apps-that-help-save-money/,http://time.com/money/4254230/family-travel-vacations-ways-to-save/,https://www.buzzfeed.com/anniedaly/adventure-awaits,travelexperta.com,lg v10 branded term (brand/client name),http://www.t-mobile.com/cell-phones/lg-v10.html,,,Example AT: T-Mobile&#039;s multi-purposeful lg v10  
