Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41003,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41003 - # Ways to Kickstart Your New Career,"675 words. Make a list of 4 to 8 things that people can do to prepare for new careers. You may want to write about topics such as completing certificate programs, buying professional clothes, or making connections within the industry. You can include the client link and keyword in a section about how working part-time selling products with a company like Amway, can teach people about sales, planning, inventory, public speaking, etc. Your target audience is looking to advance their career.",http://www.forbes.com/sites/jacquelynsmith/2013/11/13/how-to-start-thinking-about-career-change/#19d768af24fc,http://www.dummies.com/how-to/content/ten-tips-on-how-to-start-a-new-career.html,http://money.usnews.com/money/blogs/outside-voices-careers/2015/03/12/4-tips-to-start-strong-at-your-new-job,lifeadvancer.com,Branded variation,https://www.youtube.com/user/AmwayUS/,,,Example AT: selling products for Amway part-time
41004,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41004 - # Tips for Paying Your Way Through College,"675 words. Everyone is aware of how quickly college tuition is increasing, so a lot of parents are concerned about how they will be able to afford education for their children. Use this article to explain 4 to 8 ways parents can make college more affordable. You may want to write about starting to save as soon as possible, choosing a state school, and using a 529 plan. You can include the client link and keyword in a section about earning extra money by selling Amway products. Your target audience is parents.",http://time.com/money/4136945/6-ways-to-make-college-more-affordable/,http://www.forbes.com/sites/johnwasik/2014/11/05/the-five-best-college-savings-plans/#58a128bc614c,http://college.usatoday.com/2015/12/15/5-ways-students-can-make-college-more-affordable/,womantribune.com,Branded variation,https://www.youtube.com/user/AmwayUS/,,,Example AT: selling Amway products for extra savings
41005,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41005 - # Tips for Budget Stretching,"675 words. List 4-8 ideas on how to find extra money to help someone stretch their budget. Find low-effort tasks that yield a reasonable rate of return for the time put in. These ideas should be pointed towards people who are working an 8-to-5 job and need some more money without having to put in another eight hours to earn it. Anchor the text in a sentence that discusses selling catalog products from a distributor, like Amway. Don&#039;t use the acronym MLM (multi-layer marketing) as that has negative connotations. The placement site for this is a blog about frugal crafting, so make sure to discuss how a little extra cash helps buy extra materials for a project to appeal to your audience. ",http://money.howstuffworks.com/personal-finance/budgeting/5-ways-to-make-extra-money-from-home.htm,http://www.makingsenseofcents.com/2015/05/75-ways-to-make-extra-money.html,http://www.moneysavingexpert.com/family/make-money,scrapality.com,Branded variation,https://www.youtube.com/user/AmwayUS/,,,Example AT: selling Amway products on the side
41006,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41006 - # Ways Supplements Improve Quality of Life,675 words. Write about 4-8 ways that supplements help make life better. The body runs best when it has the maximum amount of macro and micro-nutrients available to it. It&#039;s difficult to consume every food that has everything the body needs on a daily basis. The target audience are adults of all age brackets that want to boost their body&#039;s function without having to go out of their way to do so. The target URL goes to Amway&#039;s blog page that highlights their nutritional supplements. Place the anchor text in a sentence that discusses how a little supplementation goes a long way towards helping the body feel better.,http://familydoctor.org/familydoctor/en/prevention-wellness/food-nutrition/nutrients/dietary-supplements-what-you-need-to-know.html,http://www.healthline.com/health/10-reasons-iron-supplements,http://www.crnusa.org/benefits/files/CRN-BenefitsofNutritionalSupplements-2012.pdf,noordinaryhomestead.com,Branded variation,https://www.youtube.com/user/AmwayUS/,,,Example AT: taking nutritional supplements from Amway
41007,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41007 - # Ways for Men to Stay Healthy This Summer,"675 words. Write about 4-8 ideas for men to stay healthy this summer, whether it&#039;s through diet, nutrition, or regular exercise. Modern lifestyles are full of stress and not enough personal care. Focus on how men can squeeze in extra activities and minor diet changes that have major results on their quality of life. The target audience are men who have graduated college and are starting their career track, along with men who are in their 30s and have been in a work/family routine for a while. The target URL goes to the client&#039;s main page that highlights healthy living products designed specifically for men. ",http://www.mayoclinic.org/healthy-lifestyle/mens-health/in-depth/mens-health/art-20047764,http://www.cdc.gov/features/healthymen/,http://health.usnews.com/health-news/blogs/eat-run/2015/06/14/4-healthy-foods-men-should-eat-now,male-mode.com,Branded variation,http://www.amwayconnections.com/,,,Example AT: staying healthy with Amway products
41008,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41008 - # Tips for Creating a Subtle and Understated Makeup Look,"675 words. Write about 4 to 8 ways to keep makeup subtle and understated while avoiding the barefaced look. Makeup styles go in and out of fashion on a regular basis, and some women don&#039;t want to keep up with the constant changes. Focus on women in their 30s and up who don&#039;t want to go crazy with makeup, but don&#039;t want to go without. The target URL goes to the main page of the website for the client, who has their own brand of makeup. Talk about the advantages of using cosmetics that use natural bases for excellent coverage and hypo-allergenic properties, like the ones from Amway.",http://www.wikihow.com/Apply-Simple-Every-Day-Makeup,http://www.makeup.com/how-to-make-foundation-look-perfect,https://www.buzzfeed.com/augustafalletta/heres-how-to-get-your-makeup-looking-amazing-af-in-photos?utm_term=.ugZBAKJP2#.wfqM9pm8b,topdreamer.com,Branded variation,http://www.amwayconnections.com/,,,Example AT: using hypo-allergenic products from Amway
41009,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41009 - # Ways to Afford a Great Engagement Ring,"675 words. Write a list of 4 to 8 tips men can follow to make engagement rings more affordable. Some tips might include when and where to buy rings at the lowest prices possible, or taking on side jobs for extra cash. The resource links offer plenty of options you can include in your list. You can mention the client keyword and URL in a section about earning extra money through doing a work from home job like selling products for a company like Amway. Your target audience is men who will be purchasing engagement rings soon.",http://lifehacker.com/how-to-get-the-best-deal-on-an-engagement-ring-1513108389,http://www.wisebread.com/12-money-saving-tricks-to-know-before-buying-an-engagement-ring,http://www.moneyunder30.com/how-buy-engagement-ring-online,unfinishedman.com,Branded variation,https://www.facebook.com/AmwayUS/,,,Example AT: work from home with Amway
41010,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41010 - # Ways to Make Your Next Vacation Affordable,"675 words. Make a list of 4 to 8 ways that people can fund their next vacations, either by earning extra money or by lowering the cost of travel. The resource links offer numerous tips for people who want to save money while traveling. You can include the client link and keyword in a section about earning extra money through work from home opportunities like selling Amway products. Your target audience is interested in travel. ",http://www.moneycrashers.com/affordable-travel-tips-vacation-budget/,http://www.womansday.com/life/travel-tips/tips/a2392/10-savvy-ways-to-save-on-travel-116915/,http://www.cntraveler.com/stories/2016-01-13/10-smart-ways-to-save-money-on-travel,iliveup.com,Branded variation,https://www.facebook.com/AmwayUS/,,,Example AT: make extra cash selling Amway products
41011,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41011 - # Twitter Accounts All Entrepreneurs Should Follow,675 words. Make a list of 4 to 8 Twitter accounts that will keep entrepreneurs up to date on the latest business opportunities and news. Readers should come away feeling that they know what benefits each Twitter handle offers. You can include the client link by discussing Amway as a good option because it offers sales advice and helps people explore new opportunities for making money. Your target audience is entrepreneurs over the age of 25.,http://www.businessdegreeonline.com/article/five-twitter-accounts/,http://www.businessnewsdaily.com/7527-entrepreneur-twitter-accounts.html,http://www.inc.com/samuel-edwards/the-10-most-influential-entrepreneurs-to-follow-on-twitter.html,yourlifeafter25.com,Branded variation,https://twitter.com/amway,,,Example AT: sales advice from Amway&#039;s Twitter 
41012,covario (iProspect),CON114011 Amway April 16,lcolarado1,Traffic,41012 - # Ways to Tell if Work From Home Jobs Are Legitimate,"675 words. There are a lot of work from home job opportunities advertised online, but people are understandably concerned about scams. Make a list of 4 to 8 things people can do to tell if work from home jobs are legitimate. The resource links offer several options you may want to explore. You can include the client link and keyword by suggesting that job seekers research companies before accepting positions. In this case, they can research Amway by using social media sites like LinkedIn. Your target audience is interested in tech, lifestyle, education, sports, etc. and might also be job hunting.",http://workathomemoms.about.com/od/workathomescams/a/scamhub.htm,http://www.monster.com/career-advice/article/avoid-work-from-home-job-scams,http://www.scambusters.org/work-at-home-jobs.html,medyatonya.com,Branded variation,https://www.linkedin.com/company/amway,,,Example AT: such as Amway&#039;s Linkedin page
