Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41839,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41839 - # Programs You Must Set Up on Your Windows 10 Computer,"500 words. List 3-6 programs that should be downloaded on a Windows 10 computer. These programs can be things like a web browser, virus protection, helpful apps, and cloud storage. Your audience will be regular people who are looking for helpful tips and tricks for their daily computing needs. The target URL goes to a cloud security software company that helps people strengthen their knowledge of cloud computing. You can link to the target URL by suggesting that users set up a cloud program to safely store their data, mentioning the importance of learning how this cloud storage works.",http://www.windowscentral.com/27-essential-apps-install-windows-10,http://www.neowin.net/news/the-top-10-apps-no-windows-10-pc-should-be-without,http://www.pcworld.com/article/2082305/software/your-new-pc-needs-these-22-free-programs.html#slide1,toptrix.net,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41840,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41840 - # Cloud Computing Trends You Need to Know About,"500 Words. List 3-6 cloud computing trends readers need to know about. You can include trends like increasing private cloud adoption, simpler data transfer to the cloud, and a growing need for fast response to cloud threats. Your audience is people who are interested in technology news and gadgets. The target URL goes to a cloud security software company that provides people with information about cloud security. You can link to the target URL in a section about growing cloud threats, mentioning the importance of learning about cloud security in order to protect your data.",http://www.rightscale.com/blog/cloud-industry-insights/cloud-computing-trends-2016-state-cloud-survey,http://www.cio.com/article/3026527/cloud-computing/11-cloud-trends-that-will-dominate-2016.html,http://www.business2community.com/cloud-computing/guide-assess-stand-cloud-security-01543362#bPfIWp0ArM7yPB7p.97,techgeeze.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41841,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41841 - # of the Best Mobile Wireless Drives Available,"500 words.  List 3-6 of the best mobile wireless drives available. Include highly rated drives like WD My Passport Wireless, Seagate Wireless Plus, and Corsair Voyager Air and provide details about usage, storage space, and battery life. Your audience is people who are interested in technology and gadgets. The target URL goes to a cloud security software company that provides people with information about cloud security. You can link to the target URL by suggesting that users with huge storage needs combine a mobile wireless drive with cloud storage, and suggest that they take the time to learn about cloud storage before taking this step.  ",http://www.cnet.com/topics/storage/best-hard-drives-and-storage/best-mobile-wireless-drives/,http://www.howtogeek.com/235283/what-is-a-wireless-hard-drive-and-should-i-get-one/,http://www.computershopper.com/feature/2016-guide-the-best-wireless-hard-drives-tested,comparecaffeine.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41842,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41842 - # Great Battery Saving Apps for Android,"500 words. List 3-6 battery saving applications for Android phones. You can include apps like Greenify, Avast Battery Saver, and Go Battery Saver and Power Widget. Your audience is people who are interested in gadgets and technology. The target URL goes to a cloud security software company that provides people with information about cloud security. You can link to the target URL by including a section about general battery saving tips. Link in to the target URL in a sentence about how backing up photos and data to the cloud uses up a lot of your phone&#039;s battery, and suggest that users only back up to the cloud when their phones are charging.        ",http://www.cnet.com/how-to/android-apps-that-prolong-and-extend-smartphone-battery-life/,http://www.androidauthority.com/best-battery-saver-android-apps-266980/,http://www.computerworld.com/article/3024695/android/android-battery-life.html,3ptechies.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41843,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41843 - # Things to Know About the Cloud Before Using It,"500 words. Make a list of 3 to 6 essential things everyone should know about cloud computing. Some topics you might want to discuss include: how cloud computing saves money, encrypting data to improve security, and where information is stored when it&#039;s in the cloud. You can include the client keyword and URL by mentioning Skyhigh&#039;s Cloud Security University as a place to learn more about one of these topics. Your target audience is new to using the cloud.",http://www.cio.com/article/2901060/cloud-computing/five-basic-things-you-should-know-about-cloud-computing.html,http://www.techrepublic.com/article/the-state-of-cloud-computing-10-things-you-need-to-know/,http://time.com/3712236/cloud-facts/,datanami.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41844,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41844 - # Ways to Fight DDoS Attacks,"500 words. Make a list of 3 to 6 things companies can do to either prevent or fight back against an ongoing DDoS attack. Tips can focus on things like recognizing the attack quickly, rate limiting routers, and maintaining a good relationship with your hosting provider. You can include the client link and keyword in a section about staying up to date on the latest threats by visiting Skyhigh&#039;s university. Your placement site targets those interested in a wide range of topics from entertainment and travel, to tech and business. So write for a broad audience. ",http://www.infoworld.com/article/2612835/security/the-ultimate-guide-to-preventing-dns-based-ddos-attacks.html,http://www.networkworld.com/article/2905115/network-security/the-best-way-to-stop-ddos-attacks.html,http://www.esecurityplanet.com/network-security/5-tips-for-fighting-ddos-attacks.html,feedster.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41845,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41845 - # Cloud Security Threats You Need to Prepare For,"500 words. Make a list of 3 to 6 of the biggest cloud security threats companies should prepare for. The resource links discuss several options you may want to write about, such as data breaches and system vulnerabilities. You can include the client URL and keyword by mentioning Skyhigh&#039;s Cloud Security University as a place for your target audience of managers and owners to learn more about protecting their companies from cloud security threats.",http://www.infoworld.com/article/3041078/security/the-dirty-dozen-12-cloud-security-threats.html,http://www.cio.com/article/2872517/data-breach/6-biggest-business-security-risks-and-how-you-can-fight-back.html,http://www.informationweek.com/cloud/infrastructure-as-a-service/9-worst-cloud-security-threats/d/d-id/1114085,valuewalk.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41846,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41846 - # Reasons Why Learning About Cloud Computing and Security is Important for Startups,"500 words. Write about 3 to 6 reasons why learning about cloud computing is an important aspect of starting a new business. Businesses need to store data somewhere, and cloud computing makes the most sense; explore the reasons why a business needs to learn and understand why security is a necessary part of cloud storage. Your audience consists of late entrepreneurs who are starting their own business. The target URL goes to the client’s page for learning about cloud computing. Anchor the URL in a sentence that discusses the value of educating everyone in the organization about cloud storage and security.",http://www.business.com/cloud-computing/study-shows-small-businesses-are-doubling-profits-by-switching-to-cloud-computing/,https://www.score.org/resources/10-ways-cloud-computing-benefits-your-business,https://www.xero.com/au/small-business-guides/business-management/cloud-security/,startupnation.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41847,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41847 - # Ways Cloud Computing Improves Productivity in the Office,"500 words. List 3 to 6 ways cloud computing increases productivity in the office. The cloud has become a buzzword, but it&#039;s a practical tool for the business world. Explore different ways that the cloud makes it easy for employees to use, both remote and on site, and how the ease of data retrieval lets everyone get the information they need without hassle. Appeal to upper management types who are considering the benefits of the cloud. The target URL talks about learning about cloud security. Anchor the link to a sentence that discusses security and data protection aspects of the cloud.",http://www.carriersales.com/cloud-computing-increase-efficiency-workplace-go/,https://www.troi.net/cloud-computing-helps-businesses-boost-productivity/,http://www.business.com/cloud-computing/8-ways-cloud-computing-can-increase-productivity/,rswebsols.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
41848,SkyhighNetworks (Skyhigh Networks),CON386002 SkyHigh Networks May 16,lcolarado1,Attention,41848 - # Ways the Cloud Makes Life Better,"500 words. Write about 3 to 6 different ways the cloud makes life better. The cloud has been around for a while, but it&#039;s only recently that it&#039;s become a standard aspect of computing. It&#039;s low-key and many may not realize what it does, and how it makes daily life a little less hectic. Appeal to those who may not be fully tech savvy, but are still interested in learning about technology. The client URL goes to a page about learning about cloud security. Anchor the URL to a sentence discussing the benefits of learning more about how the cloud keeps data secure.",http://www.business2community.com/cloud-computing/will-internet-things-technology-make-life-easier-01492107#JpOTRRrX2fEkWXEZ.97,http://www.barbarahemphill.com/workplace-productivity/200-cloud-computing-for-everyday-life,https://www.unc.edu/courses/2010spring/law/357c/001/cloudcomputing/examples.html,smarttechtoday.com,natural/writer&#039;s choice,https://www.skyhighnetworks.com/cloud-security-university/,,,
