Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
37588,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37588 - How to Create a Female Friendly Work Environment,"500 words: List 3-6 things employers can do to ensure an inclusive workplace. Focus on less obvious issues, like microagressions, exclusionary/gendered language and insults, and the need for open-door HR policies. This article is aimed at managers and other workplace leaders as a way to help them keep their great female resources on the staff. The anchor text can be included in a segment about getting anonymous employee feedback and checking company reviews online.",http://www.fastcompany.com/3033629/second-shift/how-to-build-a-feminist-workplace#8,http://everydayfeminism.com/2015/06/sexism-at-work/,https://www.themuse.com/advice/how-to-effectively-be-a-feminist-in-the-workplace,blogher.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37589,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37589 - How to Rent an Apartment the Right Way,"500 words: List 3-6 things people should know when looking for an apartment and signing a lease. Create an overview, including being familiar with the lease, doing research on the neighborhood, and which furniture items are most essential to buy first. The target audience is people who may be switching from owning to renting, or people who are renting an apartment for the first time. The anchor text can fit in a section about getting renter&#039;s insurance, and how to choose the right company by checking out reviews.
",http://lifehacker.com/seven-things-i-wish-i-knew-before-getting-my-first-apar-1527417320,http://www.apartmenttherapy.com/the-first-apartment-checklist-things-to-buy-now-things-to-buy-later-219419,http://www.apartmentguide.com/blog/your-first-apartment-four-things-you-need-to-know/,realtytimes.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37590,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37590 - # Reasons Work-Life Balance is So Important,"500 words: Discuss 3-6 reasons why work-life balance is so important to overall health. Ideas can include reasons such as it cuts down on worker burnout and it reduces health issues. Your potential audience is more concerned with how burnout affects their life, so focus on personal benefits rather than employer benefits. Tie in the target URL by discussing how potential employees should research reviews of employers and how the work-life balance is at the company.
",http://aib.edu.au/blog/work-life-balance-is-important/,http://www.businessweek.com/managing/content/mar2009/ca20090327_734197.htm,https://www.psychologytoday.com/blog/presence-mind/201509/hows-your-work-life-balance,patch.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37591,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37591 - # Tips for Choosing a Home Insurance Company,"500 words: Provide 3-6 tips to help readers choose a home insurance company. Ideas can include looking for discounts and making sure the home has adequate coverage. Potential readers are proud of their homes and interested in keeping it safe. Tie in the anchor text by saying that homeowners owners should check company reviews to make sure they&#039;re dealing with a company that&#039;s easy to work with.
",http://money.cnn.com/pf/money-essentials-home-insurance-company/,https://www.mainstreet.com/article/6-tips-choosing-homeowners-insurance/page/3,http://money.usnews.com/money/blogs/my-money/2014/02/14/4-things-to-know-when-buying-homeowners-insurance,hometone.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37592,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37592 - # Easy Ways to Save Money,"500 words: Write 3-6 tips people can use in their everyday lives to help save more money. Examples can include changing your driving style to save on fuel and making your own coffee instead of ordering it out every day. The potential audience is interested in budgeting and saving money, yet they want simple and manageable tips to do so. Work in the target URL by mentioning that readers should take advantage of employer-matching retirement savings and Assurant was awarded for helping employees save.
",https://www.assurantsolutions.com/media/news-articles/2015/med-news-09172015-t4.html,http://www.investopedia.com/articles/pf/08/save-without-trying.asp,http://www.cnbc.com/2015/04/23/here-are-20-easy-ways-to-save-some-money-every-day.html,budgetinginthefunstuff.com,Assurant Review,https://www.glassdoor.com/Reviews/Assurant-Solutions-Reviews-E358894.htm,,,
37594,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37594 - # Ways to Save Money on Home Insurance,"500 words: List 3-6 ways you can save money on home owners insurance. You can include info on raising your deductible, getting multiple policies under the same provider, your location, etc. You can include the client link by mentioning that its always good to shop around and read reviews of potential providers. Your audience consists of people interested in advice on personal finance. ",http://www.iii.org/article/how-to-save-money-on-your-homeowners-insurance,http://www.autohomeboat.com/research-center/home-insurance/save-on-home-insurance,http://www.360financialliteracy.org/Topics/Home-Ownership/Homeowners-Insurance/How-to-Save-Money-on-Homeowners-Insurance,lazymanandmoney.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
37595,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37595 - # Side Jobs to Help Get You Out of Debt,500 words: This article will discuss 3-6 side jobs you can have in addition to your main job so that you can pay off debt. This article should be directed at people who are interested in paying off debt. These jobs should include both hourly and salary positions for a person who may want to pick up extra work. You can include the client link by discussing that you should check out reviews of potential places to work to see if its a good fit for you.,http://www.moneycrashers.com/snowflaking-pay-down-debt/,http://www.bankrate.com/finance/personal-finance/5-great-second-jobs-for-extra-cash-1.aspx,http://www.frugalfanatic.com/30-side-jobs-to-make-money-pay-down-debt/,debtroundup.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
37596,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37596 - The # Best Websites for Interviewing With Your Next Employer,"500 words: Discuss 3-6 websites job seekers can use to find out about employers and what makes these sites useful. The sites mentioned should be provide information (preferably including reviews) on employers. These could include Glassdoor, Indeed, or CareerLeak. The audience is young, tech-savvy job seekers doing research on potential employers before seeking employment. The target link is for a review of Assurant on Indeed, so you could include it in the section with Indeed as an example of an employer review. Give an example employer review for each site.",http://www.cio.com/article/2387201/careers-staffing/top-8-sites-for-researching-your-next-employer.html,http://theundercoverrecruiter.com/employer-reviews/,http://www.totumblog.com/2015/09/the-good-the-bad-and-the-ugly-of-employer-review-websites.html,wittysparks.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
37598,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37598 - # Best Job Search Websites for IT Professionals,"500 words: Discuss 3-6 job search websites that allow users to search for IT jobs. These sites should have a filter to search for IT jobs specifically such as Glassdoor, Indeed, or Vault. The audience is young IT professionals (likely recent grads) searching for a job in the IT sector. The target URL goes to a review of Assurant on Indeed; you can use it as an example of a company review in the section about using Indeed to find a job. Add a link to each of the sections that mention a website, whether it is a job description or an employer review.",http://www.networkworld.com/article/2870513/infrastructure-management/20-most-useful-career-sites-for-it-professionals.html,http://www.investopedia.com/articles/personal-finance/042215/best-websites-find-job-tech-it.asp,http://biginterview.com/blog/2014/10/best-job-search-sites.html,mytechlogy.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
37599,Assurant (Assurant),CON390001 Assurant Nov 15 - Feb 16,lcolarado1,Budget,37599 - # Tips on Using the Internet for Your Job Search,"500 words: Discuss 3-6 tips for using the internet to successfully search for a new job. These could include getting your resume updated and internet-ready, networking with friends online, or choosing the right career sites to search. The audience is young, tech-savvy recent grads. The target URL goes to a review of Assurant on Indeed.com, which you can use as an example in the section about choosing the right career sites. Try to include links for examples of the other tips, so the Assurant link won&#039;t stand out too much.
",http://money.howstuffworks.com/business/getting-a-job/5-tips-for-organizing-job-search-online.htm,http://www.rileyguide.com/jobsrch.html,http://www.quintcareers.com/15-job-hunting-tips/,instablogs.com,Assurant Review,http://www.indeed.com/cmp/Assurant/reviews,,,
