Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41768,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41768 - # Careers With the Best Job Security,"500 words. List 3-6 careers that have the best job security today. Try to incorporate careers across a variety of industries and requiring different levels of education. The potential audience is interested in earning, investing, and saving money, so a steady paycheck is important to them. The target URL discusses accounting, so make sure this is one of the careers you discuss so that you can link to the target URL.",http://www.marketwatch.com/story/10-professions-with-the-best-job-security-2015-03-20,http://www.forbes.com/2009/10/21/job-security-flexibility-forbes-woman-net-worth-personal-brand_slide.html,http://www.campusexplorer.com/college-advice-tips/637D83AF/Top-10-Careers-for-Job-Security/,everybodylovesyourmoney.com,natural,http://advice.careerbuilder.com/posts/so-you-want-to-be-an-accountant,,,
41769,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41769 - Why Companies Are Looking at Onshoring Jobs,"500 words. List 3-6 reasons why companies are considering onshoring jobs, or bringing certain jobs back to this country. For years, companies would offshore certain jobs to cheaper labor markets. Discuss reasons why this trend is starting to change. Your target audience is interested in daily news and happenings in the country. You can incorporate the target URL by discussing why some companies are bringing customer service jobs back to the United States.",http://www.forbes.com/sites/allbusiness/2014/02/27/trickle-of-jobs-returning-to-u-s-shores-could-soon-become-a-torrent/#181fdb207897,http://www.businessinsider.com/sc/benefits-of-onshoring-2015-11,http://www.thedailybeast.com/articles/2012/08/28/why-call-center-jobs-are-coming-back.html,madmikesamerica.com,natural,http://advice.careerbuilder.com/posts/is-customer-service-the-job-for-you,,,
41770,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41770 - # Expanding Career Fields for Women,"500 words. List 3-6 expanding career fields for women, and why they&#039;re becoming so popular (flexible hours, better pay, job security, and more). Try to include jobs that traditionally attract a lot of women, as well as jobs that have been dominated by men for a long time. Your target audience consists of women who are over the age of 25. You can incorporate the target URL by discussing a pharmacist as one of the careers.",http://www.forbes.com/2010/07/19/fastest-growing-jobs-women-leadership-forbeswoman-work_slide.html,http://www.forbes.com/sites/jennagoudreau/2013/02/28/the-best-paying-jobs-for-women-in-2013/#5738c1c6e814,http://www.cbsnews.com/news/what-fields-offer-the-best-job-prospects-for-women/,yourlifeafter25.com,natural,http://advice.careerbuilder.com/posts/should-you-become-a-pharmacist,,,
41854,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41854 - # Apps to Boost Your Tech Career,"500 words. List 3-6 apps that tech professionals can use to boost their careers. Include apps like Evernote for note taking, Namerick for remembering contacts, and Resunate for resume creating. Your audience is people who are interested in technology industry updates and product reviews. The target URL goes to a resource page for becoming an IT Director. You can link to the target URL by suggesting an app that could be especially helpful for IT Directors.",http://www.right.com/wps/wcm/connect/right-us-en/home/thoughtwire/categories/career-work/9-essential-apps-to-manage-your-career,https://www.themuse.com/advice/70-apps-every-professional-should-know-about-and-use,http://www.levo.com/articles/career-advice/apps-for-work,cravingtech.com,Natural,http://advice.careerbuilder.com/posts/whats-it-like-being-an-it-director,,,
41855,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41855 - # Corporate Lessons to Apply in Your Business,"500 words. List 3-6 corporate lessons that entrepreneurs can apply in their businesses. Include lessons like putting the customer first, planning effectively, decreasing risk, and working with measurable data. Your audience is entrepreneurs and people who work for startup companies. The target URL goes to a resource page about becoming a Marketing Manager. You can link to the target URL by mentioning a corporate lesson that marketing managers would be very familiar with, such as planning and execution.",https://www.entrepreneur.com/article/245709,http://www.huffingtonpost.com/kelly-lynn-adams/10-lessons-learned-in-cor_b_6241304.html,http://www.antennaconsulting.com/blog/2015/big-to-small-5-lessons-from-my-corporate-career-that-make-me-a-better-small-business-leader,thestartupmag.com,natural,http://advice.careerbuilder.com/posts/whats-it-like-being-a-marketing-manager,,,
41856,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41856 - # Skills Every Man Should Master in His Life,"500 words. List 3-6 skills every man should master in his life. You can include skills like changing a tire, maintaining a home, tying a necktie, shaking hands, and buying a suit. Focus more on men mastering these skills to become self-sufficient, not just macho. Your audience is mostly men. The target URL goes to a resource page about becoming an automotive technician. You can link to the target URL in a section about mastering automotive skills.", http://www.cheatsheet.com/health-fitness/skills-men-need-4-things-every-man-should-know-how-to-do.html/?a=viewall,http://www.esquire.com/lifestyle/g2511/life-skills-for-men/,http://www.artofmanliness.com/2015/09/28/100-skills-every-man-should-know/,urbasm.com,natural,http://advice.careerbuilder.com/posts/so-you-want-to-be-an-automative-technician,,,
41857,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41857 - # Benefits of Becoming a Security Guard,"500 words. Write 3 to 6 ways that being a security guard is a rewarding career. Many people consider a security guard as someone who can&#039;t get into law enforcement, when it&#039;s actually the other way around. Security guards are oftentimes retired military or police, or those who want to get into law enforcement and need experience. It&#039;s also a way for someone to test out the idea of going into the security field and want to test waters first. Appeal to those who are looking to start their career. You can link to your target URL in a section that details the job of a security guard.
",http://pdsclasses.com/2011/07/how-can-a-security-guard-make-more-money/,http://blogs.wsj.com/digits/2015/03/03/apple-making-security-guards-full-time-employees/,http://careers.alot.com/career-paths/the-pros-and-cons-of-a-security-job--1673,medyatonya.com,natural,http://advice.careerbuilder.com/posts/so-you-want-to-be-a-security-guard,,,
41858,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41858 - # Pros and Cons of Becoming a Retail Sales Associate,"500 words. Write 3 to 6 pros and cons about working as a retail associate. The retail associate position doesn&#039;t always have to be bad even though the public views it as such. Pros can include commission based jobs, employee discounts, and how some employers like Costco, treat their employees very well. It&#039;s also a good place to learn working skills. Cons can include low pay and slow advancement to management levels. The audience is women who are exploring ways to make money while figuring out their career path. You can link to your target URL in any section that discusses the job of a retail associate.
",https://hbr.org/2014/12/what-retail-sales-associates-still-do-better-than-websites,http://www.payscale.com/research/US/Job=Retail_Sales_Associate/Hourly_Rate,http://smallbusiness.chron.com/difference-between-seasonal-associate-sales-associate-12858.html,womantribune.com,natural,http://advice.careerbuilder.com/posts/thinking-about-becoming-a-retail-sales-associate,,,
41859,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41859 - # Ways Moving up to an RN From a CNA is Good Career Advancement,500 words. Write about 3 to 6 ways how becoming an RN from a CNA is a good move for those who want to experience more of the nursing field. CNAs are the entry-level workers of the nursing field and may not consider becoming an RN to improve their earning potential. CNAs tend to lose sight of where their career can go because they deal with the worst aspects of medical care. The audience is people who are exploring a career in medicine and aren&#039;t sure of where to go next. Link to the target URL in a section that discusses what the job of an RN entails.,https://www.quora.com/Will-being-a-CNA-help-me-get-into-nursing-school,http://www.nursefuel.com/cna-to-rn/,http://cnatrainingtips.com/cna-to-rn/,lifeadvancer.com,natural,In Writing - Registered Nurse,,,
41860,CareerBuilder.com (CareerBuilder.com),MIX112001 Career Builder May 16,lcolarado1,Attention,41860 - Busting # Common Myths About Financial Analysts,"500 words. Financial analysts are seen as mystic gurus in the financial field, but there&#039;s more to the title than meets the eye. In 3-6 subheaders, discuss what a financial analyst really does for people and businesses, and dispel some of the more common myths that surround the field. It&#039;s a skill that almost anyone can grasp the concepts of on their own, and use the knowledge for their current employment or in the future. Appeal to those who are either developing their career, or are starting down the path and looking for something to enhance their skills. Link to the target URL in any section that mentions what the job of a financial analyst actually entails.",http://www.investopedia.com/financial-edge/0213/a-day-in-the-life-of-a-financial-analyst.aspx,https://www.sokanu.com/careers/financial-analyst/,http://blog.aftercollege.com/quick-guide-basics-financial-analyst/,cleverdude.com,natural,In Writing - Financial Analyst,,,
