Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41085,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41085 - # Tools You Need to Remodel Your Kitchen,"675 words. Make a list of 4 to 8 tools people should use when remodeling their kitchens, and explain why each tool is useful. The resource links offer plenty of information about standard tools that get used during remodeling projects. You can include the client link and keyword in a section about how smartphones are good remodeling tools because the reader can use them to measure distances and even use augmented reality to decide which furniture/cabinets/sinks they want to add. Your audience is interested in DIY home projects. ",http://www.popularmechanics.com/home/tools/reviews/g1291/the-20-tools-you-need-for-remodeling/,http://www.tomsguide.com/us/pictures-story/651-best-home-improvement-apps.html,https://www.houselogic.com/remodel/diy-tools-for-faster-easier-remodeling/,finehomebuilding.com,galaxy s7 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,Example AT: using a smartphone such as T-Mobile&#039;s Galaxy S7 Edge
41088,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41088 - # Smartphone Apps to Make Your Marriage More Romantic,"675 words. Make a list of 4 to 8 apps that married couples can use to make their relationships more romantic. You may want to write about travel apps that will help them find romantic getaways, messaging and social media apps that let couples exchange messages throughout the day, and apps that recommend sexy games, etc. You can use the client link and keyword in any section as long as you mention a standout feature of the s7 Edge. Your audience is interested in keeping marriage interesting.",http://simplemarriage.net/apps-for-married-couples/,http://www.digitaltrends.com/mobile/best-romantic-apps/,http://mashable.com/2013/02/14/apps-sex-life/#LqRxgOXfn8qf,engagedmarriage.com,galaxy s7 edge branded variation (client name + keywords),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,Example AT: Galaxy S7 Edge on a reliable network like T-Mobile
41089,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41089 - # Ways Smartphones Could Save the Environment,"675 words. Make a list of 4 to 8 things smartphones can do that will help people improve the environment&#039;s health (or at least decrease the negative impact). You may want to write about using ride-sharing apps or traffic updates to save gas, using apps to choose products made by eco-friendly companies, and even getting news about the environment. You can include the client keyword and link in any section, but mention a feature of the s7 Edge that readers will find appealing. Your audience is interested in living a green lifestyle.",http://www.cheatsheet.com/technology/celebrate-earth-day-with-these-7-eco-friendly-apps.html/?a=viewall,https://www.theguardian.com/environment/green-living-blog/2010/feb/17/top-10-green-iphone-apps,http://www.ceh.ac.uk/citizen-science-apps,ecofriend.org,galaxy s7 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,Example AT: apps on a smartphone like T-Mobile&#039;s Galaxy S7 Edge
41105,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41105 - # Reasons Entrepreneurs Should Wear Smartwatches,"675 words. Make a list of 4 to 8 reasons entrepreneurs should wear smartwatches. You may want to mention things like how businesspersons can check messages covertly during meetings, how they make air travel easier, and how they can use the Apple Watch to take dictation. You can include the client link and keyword in any section, but make sure you mention a feature of the Apple Watch that will help it stand out as a good choice. Your audience is interested in business and using money wisely.",http://www.digitalspy.com/tech/wearables/feature/a635480/11-reasons-you-need-a-smartwatch-from-notifications-to-navigation/,http://www.digitalspy.com/tech/apple/news/a634223/apple-spring-forward-live-blog-find-out-about-the-apple-watch-and-more/,http://www.businessknowhow.com/technology/smartwatch.htm,frugalentrepreneur.com,apple watch branded term (brand/client name),http://explore.t-mobile.com/apple-watch-sport,,,Example AT: check messages covertly with T-Mobile&#039;s Apple Watch
41107,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41107 - # Hidden Features That Make the iPad Pro Even Better,"675 words. Make a list of 4 to 8 &quot;hidden&quot; features that iPad Pro owners may not already know about. For instance, you can press the home button three times to access some features. You can also lock the iPad Pro&#039;s orientation so it doesn&#039;t move while you&#039;re reclining. The resource links offer plenty of ideas. You can include the client link and keyword in any section. Your audience is interested in consumer technology.",http://time.com/4107304/ipad-tips-features/,http://www.techradar.com/us/how-to/mobile-computing/tablets/ipad-pro-tips-and-tricks-1308686,http://www.trustedreviews.com/opinions/ipad-pro-features,thehightechsociety.com,ipad pro branded term (brand/client name),https://explore.t-mobile.com/ipad-pro,,,Example AT: hidden features of T-Mobile&#039;s iPad Pro
41108,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41108 - # Apps That Help You Lead a Greener Life,"675 words. Make a list of 4 to 8 apps that people can use to lead greener, environmentally friendly lives. You can write about apps that help people choose organic, local foods; apps that help them use less gasoline; and social media apps that connect eco-conscious people with each other so they can share ideas. You can include the client link and keyword in any section, but mention an iPad Pro feature that makes it particularly useful. Your audience is interested in green lifestyles.",http://www.cheatsheet.com/technology/celebrate-earth-day-with-these-7-eco-friendly-apps.html/?a=viewall,http://bellaspark.com/articles/entry/the-10-best-apps-for-a-healthy-green-lifestyle/,http://www.treehugger.com/gadgets/healthy-living-apps-kick-new-year.html,thegreendivas.com,ipad pro branded term (brand/client name),https://explore.t-mobile.com/ipad-pro,,,Example AT: such as T-Mobile&#039;s iPad Pro
41109,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41109 - # Reasons You Need a Smartphone When You Travel,"675 words. Make a list of 4 to 8 reasons people should carry their smartphones when they travel. You may want to mention that smartphones improve safety, and have apps that can help travelers find interesting destinations, as well as apps that offer discounted prices on hotels, airfare, etc. You can include the client link and URL in any section, but include an iPhone 6 feature that makes it especially good for travelers, such as its battery life or speed. Your audience is interested in saving money while traveling.",http://www.forbes.com/sites/alexandratalty/2015/12/22/the-best-travel-apps-for-2016/#77bab1981301,http://www.huffingtonpost.com/ann-tran/top-10-reasons-to-travel-_b_5549235.html,"http://www.budgettravel.com/feature/10-travel-apps-that-save-you-time-and-money,13040/",thebrokebackpacker.com,iphone 6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6.html,,,Example AT: such as the iPhone 6 from T-Mobile
41110,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41110 - # Smartphone Apps to Help You Decorate Your First Home,"675 words. Make a list of 4 to 8 smartphone apps that can help people decorate their homes. You may want to include apps that let people use augmented reality to see what furniture will look like in their homes, apps that connect people to furniture/art/decoration dealers, and apps that help people create color palettes. You can include the client keyword and link in any section, but make sure you mention an iPhone 6 feature that makes it more useful than other devices. Your audience is interested in architecture and interior design.",http://www.popsugar.com/home/Best-Decorating-Apps-35704220,http://www.elledecor.com/design-decorate/trends/news/g2598/8-apps-that-will-change-the-way-you-decorate/,http://www.architecturaldigest.com/story/apps-for-decorating-renovating,tevami.com,iphone 6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/apple-iphone-6.html,,,Example AT: downloaded to T-Mobile&#039;s iPhone 6
41112,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41112 - # Best On-The-Go Accessories for Your Android Smartphone,"675 words. Make a list of 4 to 8 accessories people should buy for their Android smartphones and when they&#039;re on-the-go. You may want to include earbuds and headphones, fitness-oriented wearables, and charging packs for when batteries run low. The resource links offer plenty of suggestions you can use. You can fit the client URL and keyword into any section, but highlight a feature of Samsung Galaxy s6 that makes it special, such as its long battery life or superb screen. Your audience is interested in mobile devices and technology news.",http://smartphones.reviewed.com/features/essential-android-phone-accessories,http://heavy.com/tech/2015/02/top-best-new-accessories-android-smartphones-audio-chargers-wearables/,http://www.cnet.com/pictures/top-phone-accessories-for-android-and-iphone/,tapscape.com,samsung galaxy s6 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6.html,,,Example AT: paired with T-Mobile&#039;s Samsung Galaxy S6
41120,covario (iProspect),CON114011 T-Mobile A-2 Q2 May 16,lcolarado1,Traffic,41120 - # Mistakes to Avoid When Looking for a Mortgage Lender,675 words. List 4-8 mistakes people make when shopping for a mortgage or mortgage refinance. There are some good ideas in the resources for you to discuss. You can incorporate the client URL naturally by mentioning mortgage apps. Your audience is people who are looking to buy a home and are worried about the finances that go along with that. The placement site for this article covers a wide range of topics for a broad audience. ,http://www.interest.com/mortgage/news/the-7-biggest-mortgage-mistakes/,http://www.forbes.com/sites/learnvest/2013/04/10/shopping-for-a-mortgage-watch-out-for-these-pitfalls/#7a4d04a416c1,http://www.thetruthaboutmortgage.com/mortgage-mistakes/,newtbiz.com,lg v10 branded term (brand/client name),http://www.t-mobile.com/cell-phones/lg-v10.html,,,Example AT: mortgage apps on T-Mobile&#039;s LG V10
