Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
39257,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39257 - # Unexpected Ways to Improve Your Child’s Studying Environment ,"500 words. Make a list of 3-6 things parents can do at home to improve their child&#039;s studying environment. Try to include things that readers might find unexpected or even surprising. The client URL should be: http://robertsheating.com/blog/common-ac-problems and can be incorporated by writing a section about how parents can create better study environments by having their HVAC systems repaired, which helps keep air cleaner and cooler. Your target audience is parents.",http://childdevelopmentinfo.com/learning/tips-for-helping-kids-and-teens-with-homework-and-study-habits/,http://www.hongkiat.com/blog/home-office-tips/,http://www.wgu.edu/blogpost/improve-online-study-environment,upliftingfamilies.com,natural,http://robertsheating.com/,,,
39258,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39258 - # Ways to Make Your Home Healthier Today,"500 words. Make a list of 3-6 ways a person can make his or her home healthier within one day. The client URL should be: http://robertsheating.com/blog/how-to-improve-your-homes-indoor-air-quality and can be linked in a section about how getting maintenance for an HVAC system can improve a home&#039;s air quality. The resource links include dozens of other ways people can make their homes healthier quickly. Write for a broad audience, looking to improve their health and the health of their home.",http://www.webmd.com/a-to-z-guides/features/affordable-ways-to-make-home-safer,https://www3.epa.gov/region1/healthyhomes/tenways.html,http://www.breastcancerfund.org/reduce-your-risk/tips/healthy-home/,thingsthatmakepeoplegoaww.com,natural,http://robertsheating.com/,,,
39261,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39261 - # Tips for Getting a Bargain on HVAC Services,"500 words. List 3-6 tips for negotiating a lower price on HVAC services. Some ideas include getting bids from multiple contractors, asking if there are any discounts or specials available, bundling, or trading services with a contractor. Keep in mind that the audience is people who are searching for discounts and coupons. The client URL should be: http://boundshvac.com/blogs/3-reasons-to-have-professional-preventive-maintenance and can be placed naturally in a paragraph about making sure that you are getting quality HVAC service.",https://www.angieslist.com/articles/7-ways-negotiate-lower-contractor-costs.htm,http://time.com/money/3595589/contractor-bid-negotiation/,http://www.younghouselove.com/2008/11/negotiating-101-smarter-wheelin-dealin/,coupondipity.com,natural,http://boundshvac.com/,,,
39263,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39263 - # Tips for Hosting an Amazing Summer Party,"500 words. List 3-6 things someone can do to ensure that people at a party are comfortable and having a good time, particularly in the summer. Include things like playing background music, providing snacks and beverages, and controlling the temperature in your home. The client link should be: (http://bass-air.com/blog/programmable-thermostat) and can be placed in a paragraph about temperature. You can discuss how using a programmable thermostat will keep your home and your party cool all summer long. Write for an audience of those interested in homemaking.
",http://www.goodhousekeeping.com/food-recipes/party-ideas/a25162/summer-party-planning-mistakes/,http://www.realsimple.com/holidays-entertaining/entertaining/seasonal-events/outdoor-party,http://www.cookingchanneltv.com/how-to/hosting-a-summer-party.html,triciastreasure.com,natural,http://bass-air.com/,,,
39265,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39265 - # Tips for Moms Looking to Save Money on Air Conditioning this Summer,"500 words. Discuss 3-6 things that moms can do to save money this summer on air conditioning. These tips should be oriented towards things moms can do such closing up windows and shades in the morning and encouraging their children to do the same in their bedrooms. The target URL should link to this blog post: (http://davisac.com/blog/how-routine-maintenance-of-an-hvac-system-can-make-your-home-more-comfortable), not davisac.com. Include a tip about how getting your air conditioning serviced will keep your home comfortable and prevent a costly problem later, as a way to incorporate your target URL. Your target audience is moms looking to save money.",https://www.angieslist.com/articles/6-hvac-tips-save-money-your-summer-energy-bill.htm,http://www.ase.org/resources/summer-hvac-maintenance-tips-save-energy-and-money,http://www.brisbanekids.com.au/fun-ways-to-stay-cool-in-summer/,blogwithmom.com,natural,davisac.com,,,
39268,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39268 - # Natural Ways to Stay Cool this Summer,"500 words. Discuss 3-6 natural ways to stay cool this summer. These tips should be oriented towards your audience of moms and ways they can keep their families cool. Include things like closing blinds, taking advantage of an evening breeze, etc.  The target URL should link to this blog post: (http://www.senicaair.com/blog/why-routine-maintenance-of-your-hvac-system-is-essential), not senicaair.com. To incorporate this link, you can state something that mentions how sometimes you just can&#039;t avoid using your air conditioning, so be sure you have it serviced and ready to go for those really hot days.",http://www.huffingtonpost.com/2015/08/03/ways-to-cool-your-home_n_5516182.html,http://www.lifehacker.co.in/jugaad/14-Natural-Ways-To-Keep-Your-Home-Super-Cool-This-Summer/articleshow/33770984.cms,http://www.care2.com/greenliving/14-ways-to-keep-cool-in-your-home-without-air-conditioning.html,misadvmom.com,natural,senicaair.com,,,
39269,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39269 - # Ways to Keep Your Family Healthy,"500 words. Discuss 3-6 ways that you can contribute to your family&#039;s health. These tips should be oriented towards moms and include ideas such as good hygiene and healthy eating. The target URL should link to this blog post: (http://www.bryansunited.com/blog/poor-indoor-air-quality-3-health-risks), not bryansunited.com. You could suggest that air filters need to be changed and regular maintenance to your HVAC system is important for clean, clear, healthy air to circulate your home to incorporate this link.  ",http://www.motherandbaby.co.uk/baby-and-toddler/baby-and-toddler-health-advice/7-ways-to-keep-your-family-healthy-this-winter,http://www.feathersinournest.com/2014/09/12-ways-to-keep-your-family-healthy.html,http://www.homsqr.com/change-air-filters/,mommysfavoritethings.com,natural,bryansunited.com,,,
39272,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39272 - Money Saving Tips for New Moms,"500 words. List 3-6 tips for new mothers who need to trim household expenses after a baby has arrived. One of the tips should involve cutting energy costs with regular HVAC maintenance, which will let you use this URL (http://dentairconditioning.com/blog/save-energy-with-spring-ac-maintenance). Other tips could include using the local library to get entertainment instead of buying books or DVDs, eating in more often, and using friends and family who offer to babysit instead of hiring an expensive sitter. Your target audience is new moms. Make sure to use the blog URL listed in these directions as your target URL. Not dentairconditioning.com.",http://www.parents.com/parenting/money/family-finances/32-ways-to-save-money-when-you-have-a-baby/,http://money.usnews.com/money/personal-finance/slideshows/12-money-saving-ideas-for-new-parents,http://mom.me/lifestyle/5927-10-money-saving-tips-moms/,womanofmanyroles.com,natural,dentairconditioning.com,,,
39275,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39275 - Going Green and Saving Green,"500 words. List 3-6 ways to improve your energy profile while also saving money. One suggestion should be to look into a geothermal heat pump, so you can link to a blog post on the client site (http://www.joplins.net/blog/how-to-go-green-with-a-geothermal-heat-pump). Other ways to save money might include getting maintenance done on your home&#039;s electrical and HVAC systems, planting a garden with vegetables and spices to supplement your groceries, and turning off appliances when you are out of the room. The target site is a deaf and blind motherhood site, so try to incorporate that perspective - avoid tips that would require vision or hearing, for example. Make sure to use the blog URL listed in these directions as your target URL. Not joplins.net. ",http://www.kiplinger.com/article/saving/T063-C011-S001-12-ways-to-save-money-by-going-green.html,http://money.usnews.com/money/the-frugal-shopper/2014/03/28/11-easy-ways-to-go-green-and-save-cash,http://www.goodhousekeeping.com/life/money/advice/g217/save-money-megaflip/,deafblindconfessions.com,natural,joplins.net,,,
39277,Mediagistic (Mediagistic),CON255006 HVAC March 16,lcolarado1,Budget,39277 - bFeeling Great: # Common Bad Health Culprits,"500 words. List 3-6 things that can adversely affect your health in subtle ways. Seasonal allergies should be one of the items mentioned, which allows you to link to the client blog (http://www.joplins.net/blog/keep-spring-allergens-texas-home). Mention how simple maintenance can drastically reduce the allergen levels in your home. You can also mention things like junk food diets and the positive effects of healthy food, the importance of exercising, and regularly seeing your doctor for checkups. Your target audience is interested in getting healthy. Make sure to use the blog URL listed in these directions as your target URL. Not joplins.net.",http://www.hindustantimes.com/health-and-fitness/worried-about-ageing-bad-food-no-exercise-are-the-culprits/story-TyPfPDoA9V6P65fsPfvukM.html,http://www.mensfitness.com/nutrition/the-14-worst-things-you-can-do-for-your-body,http://www.mindbodygreen.com/0-10637/5-common-culprits-that-are-damaging-your-gut-health.html,uprunforlife.com,natural,joplins.net,,,
