Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
39588,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39588 - # Best Apps for Helping Busy Travelers Stay Fit,"675 words. Examine 4-8 apps that can help people who travel often stay in shape. These apps may include healthy eating in airports, quick workouts you can complete in your hotel room, or apps that offer running routes in various cities. This article should be directed towards health conscious individuals, who may have trouble staying in shape with their busy work or travel schedule. This article should include a link to the Samsung Galaxy S7 Edge. Make sure to include apps that are available for Android, to help you include the client URL. ",http://greatist.com/fitness/best-health-fitness-apps,http://mashable.com/2010/02/23/iphone-apps-runners/,http://www.nytimes.com/2012/09/04/business/apps-for-eating-right-on-the-road.html?_r=0,userunfriendly.com,"galaxy s7 edge unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,Example AT: click here for more information
39589,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39589 - # Most Useful Apps for Graphic Designers,"675 words. This article will discuss 4-8 apps that can benefit graphic designers. These apps could help with project management and billing for freelancers, or they could help with creativity and time management. You could also discuss apps that are extensions of common graphic design programs. This article is for a site that is relevant to serious graphic designers, so ensure these apps are appropriate for this audience. Make sure the apps are also available for Android, so that you can link to the client’s URL, by mentioning the use of them on the Galaxy S7 Edge. ",http://www.noupe.com/design/24-best-apps-for-graphic-design-freelancers-85262.html,http://www.sitepoint.com/10-iphone-apps-for-designers/,http://www.fastcodesign.com/3047706/27-apps-designers-cant-live-without,vectorboom.com,galaxy s7 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,Example AT: downloaded to T-Mobile&#039;s Galaxy S7 Edge
39591,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39591 - # Apps Freelancers Need to Download Today,"675 words. This article will discuss 4-8 apps that freelancers should have on their phone. These apps may include time management apps, apps to help with taxes, apps that track mileage, or apps that help with project management. Make sure these apps are also available for Android, and include the client&#039;s link to the Samsung Galaxy S7 Edge when discussing one of the apps. Include the cost of the app, or mention that the app is free when relevant. This article should be directed specifically to freelancers in creative fields.",http://www.fastcompany.com/3052658/hit-the-ground-running/15-apps-that-make-freelancer-life-easier,https://blog.freelancersunion.org/2014/03/13/10-great-apps-busy-freelancers-accounting-contracts-etc/,http://www.hongkiat.com/blog/freelance-business-tools/,creativepublic.com,samsung galaxy s7 edge branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,Example AT: Samsung Galaxy S7 Edge&#039;s 5.1 Quad HD display
39594,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39594 - # Reasons You Should Choose an Android,"675 words. This article should examine 4 to 8 reasons why a consumer may choose an Android device over its competitors. These reasons may include the ability to customize the phone, a superior camera, the size of the device, and the functionality of the device. This article should focus on the positives of Android phones versus focusing on the negatives of Windows, Blackberry, or iOS devices. This article will be posted on a tech website, so it should focus more on the technical aspects of the device. Write for a tech-minded audience. Include information specifically about Samsung Galaxy S7 Edge to include the client link.  ",http://www.businessinsider.com/android-phones-versus-iphone-2015-1,http://www.techrepublic.com/blog/smartphones/five-reasons-android-is-superior-to-the-iphone/,http://www.androidcentral.com/best-android-phones,hitechreview.com,"samsung galaxy s7 edge unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s7-edge.html,,,"Example AT: for more details, click here"
39607,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39607 - Hate Budgeting? Let These # Apps Do the Work for You,"675 words. Create a list of 4-8 apps that will help people save money or budget better. Vary the apps so you can include a mix of coupon apps, budget planning apps, and money-saving or investing apps. The target audience loves to use technology to make everyday life easier, so emphasize how the apps make personal finance more convenient. Make sure at least one app is available for Android watches, and mention downloading it to your Samsung Gear s2 in a natural way.",http://www.top8.me/hit/top-8-money-saving-apps-android/,http://www.gottabemobile.com/2016/04/19/best-budget-apps/,http://www.ourfreakingbudget.com/best-budgeting-saving-apps-of-2016/,digitalconqurer.com,samsung gear s2 branded term (brand/client name),http://www.t-mobile.com/internet-devices/samsung-gear-s2.html,,,Example AT: T-Mobile&#039;s efficient Samsung Gear S2
39608,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39608 - Top # News Sources to Download Today,"675 words. This article should discuss 4-8 different types of news sources a person can download on their smartphone or tablet to keep track of relevant news stories. This should include innovative resources, rather than just a traditional news sites. You may want to include apps for pop culture, apps that offer future event updates, and traditional news sources that are still innovative with their apps and software. This article should be directed towards the technologically advanced and link to the target URL by mentioning using these apps with the Galaxy Note 5. ",http://www.digitaltrends.com/mobile/best-news-apps/,http://appadvice.com/applists/show/newspad,http://thenextweb.com/apps/2013/10/15/10-must-iphone-apps-keeping-top-news/#gref,vgizmo.com,Galaxy note 5 branded term (brand/client name),http://www.t-mobile.com/cell-phones/samsung-galaxy-note5.html,,,Example AT: viewed on T-Mobile&#039;s Galaxy Note 5
39609,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39609 - # Tips for Making BYOD Safer and More Effective,"675 words. A lot of companies are still in the process of adopting BYOD programs. Since they may feel uncertain about moving forward, offer them 4 to 8 tips that will help them make BYOD safer and more secure. The resource links offer plenty of topics that you can address in the article. One of the sections should focus on creating a list of approved devices. Use the LG G4V as an example of a smartphone that will match the needs of most companies. You may also want to mention a couple features that make it a useful device. Your target audience is business owners or IT professionals looking to implement BYOD in their workplace. ",http://www.information-age.com/technology/mobile-and-networking/123459392/six-tips-building-2015-proof-byod-policy,https://blog.catavolt.com/2015/06/3-ways-to-keep-data-secure-with-byod-policies-in-your-organization/,https://digitalguardian.com/blog/byod-security-expert-tips-policy-mitigating-risks-preventing-breach,digitaledge.org,Lg g4v branded term (brand/client name),http://www.t-mobile.com/cell-phones/lg-g4.html,,,Example AT: T-Mobile&#039;s 4G LTE Capable LG G4V
39610,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39610 - # Apps Every News Junky Should Have,"675 words. Make a list of 4 to 8 apps that will appeal to people who love reading news stories and keeping up with the latest events. There are a lot of apps that feed trending stories to readers, but each takes its own approach. Highlight the differences and explain why a smartphone owner would want to install it. You can include the client link and keyword in any section by suggesting installing any of these apps to the Samsung Galaxy S6 Edge. Be sure to mention a phone feature, such as the screen, and how owners will find it useful when viewing these apps. Your target audience is interested in keeping up with current news stories.",http://www.androidcentral.com/best-news-apps,http://www.androidheadlines.com/2015/03/featured-top-10-best-news-magazine-apps-android.html,http://www.digitaltrends.com/mobile/best-news-apps/,theallineed.com,"samsung galaxy s6 edge unrelated keyword (this could be “more information”, “click here”)",http://www.t-mobile.com/cell-phones/samsung-galaxy-s-6-edge.html,,,Example AT: click here to see more details
39613,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39613 - # Tips for Running a Successful Meeting,"675 words. Make a list of 4 to 8 things professionals can do to run successful meetings. This may include tips about preparing, scheduling, and presenting. The resource links offer plenty of options you can use. You can include the client link in a section about not causing disruptions while others are speaking (a smartwatch lets you check messages and notifications covertly). Mention a specific Gear S2 feature that will make this easy, such as screen size, resolution, etc. Your target audience is business professionals.",http://smallbusiness.chron.com/10-rules-proper-business-meeting-etiquette-2857.htm,http://projectmanagementhacks.com/meeting-tips/,http://www.inc.com/eric-morgan/7-tips-for-leading-meetings-more-effectively.html,businessgross.com,samsung gear branded term (brand/client name),http://www.t-mobile.com/internet-devices/samsung-gear-s2.html,,,Example AT: notifications on T-Mobile&#039;s Samsung Gear smartwatches
39615,covario (iProspect),CON114010 T-Mobile A-2 March 16,lcolarado1,Traffic,39615 - # Must Have Apps for Beer Enthusiasts,"675 words. Make a list of 4 to 8 apps that beer enthusiasts should add to their phones. This should include a variety of apps that help consumers rate beers, locate beers, and share with each other via social media. The resource links include plenty of apps you may want to mention, but double-check to make sure the apps you write about are still available. You can include the client&#039;s link in any section. Try to mention an aspect of the HTC One M9 that will make apps easier or more enjoyable to use. Your target audience is interested in beer and this article will be placed on a site that covers a wide range of topics, so write for a broad audience.
",http://www.techtimes.com/articles/58705/20150608/13-best-beer-apps-for-android-and-ios-untappd-pintley-ibrewmaster-brewerymap-mybeernation-and-more.htm,https://www.thrillist.com/drink/nation/best-free-beer-apps-for-iphone-android-best-beer-apps,http://vinepair.com/wine-blog/best-beer-tracking-apps-guide/,infotainmentnews.net,htc one m9 branded term (brand/client name),http://www.t-mobile.com/cell-phones/htc-one-m9.html,,,Example AT: T-Mobile&#039;s all-metal HTC One M9 
