Task ID,Client,Campaign,Channel,Tier: Order,Title,Direction,Resource Link 1,Resource Link 2,Resource Link 3,Desired Placement,Anchor Text,Target URL,Website Example,Client Comment,Extra Writer Notes
41735,Obsidianedge (Marketing Nomads),CON143032 Christmas Light Etc. May 16,lcolarado1,Budget,41735 - # Cute Ways to Decorate for a Dinner Party,"500 words. List 3-6 cute decorating ideas for a dinner party. These ideas can include things like choosing a color scheme, creating a centerpiece, and incorporating fun lighting. Your target audience is young, fashionable women. The target URL goes to a company that sells lights for Christmas, weddings, and parties. You can link to the target URL by suggesting string lights in the party area for a stylish touch.",http://www.wayfair.com/ideas-and-advice/4-ways-to-host-a-casual-and-elegant-dinner-party-S5290.html,http://jenniferdecorates.com/elegant-party-ideas.html,http://www.hgtv.com/design/make-and-celebrate/entertaining/15-easy-centerpieces-for-any-dinner-party-pictures,pslovecharli.com,Branded,christmaslightsetc.com,,,
41736,Obsidianedge (Marketing Nomads),CON143032 Christmas Light Etc. May 16,lcolarado1,Budget,41736 - # Simple DIY Decorating Ideas for Your Nursery,"500 words. List 3-6 decorating ideas for a nursery that can be done easily by parents at home. You can include things like wall art, display/storage boxes, and lighting. Your target audience is moms who want to live green. The target URL goes to a company that sells lights for Christmas, weddings, and parties. You can link to the target URL by suggesting turning string lights into origami box lights or something else creative.",http://www.bigdiyideas.com/40-sweet-and-fun-nursery-decor-ideas/,http://www.brit.co/baby-room-diy-projects/,http://www.trendhunter.com/slideshow/diy-lighting,theantijunecleaver.com,Branded,christmaslightsetc.com,,,
41737,Obsidianedge (Marketing Nomads),CON143032 Christmas Light Etc. May 16,lcolarado1,Budget,41737 - # Ways to Make Your Backyard More Kid-Friendly,"500 words. List 3-6 ways parents can make their backyards more fun and safe for their kids. These tips can include things like updated patios, playscapes, trampolines, and fun lighting. Your target audience is moms, aged 25-45, living in Canada and the US. The target URL goes to a company that sells lights for Christmas, weddings, and parties. You can link to the target URL by suggesting patio lights in the backyard so kids can see better in the evening.",http://www.hgtv.com/design/outdoor-design/outdoor-spaces/15-family-friendly-backyard-designs-pictures,http://www.homedit.com/kid-friendly-backyard-ideas/,http://www.remodelaholic.com/beautiful-backyards-for-families/,talesofarantingginger.com,Branded,christmaslightsetc.com,,,
41738,Obsidianedge (Marketing Nomads),CON143032 Christmas Light Etc. May 16,lcolarado1,Budget,41738 - # Ways to Create Lighted Table Centerpieces for Special Events,"500 words. Come up with 3 to 6 ways to light up the tables at a wedding reception or special event. Appeal to people of all ages who want to add soft lighting to the table and make the setting more interesting. Mason jars and empty champagne glasses are perfect for holding a strand of lights while casting a soft glow on the table. The URL goes to the client&#039;s main page, so be sure to anchor the text to a sentence about how battery operated strands of lights and lighted willow branches are perfect for creating a table centerpiece. Your target audience is women who are interested in a wide range of topics, so write for a broad audience.",http://www.mazelmoments.com/blog/11753/led-light-centerpieces-wedding-bat-bar-mitzvah-party/,http://www.bridebox.com/blog/15-ways-use-mason-jars-wedding/,http://www.decorativewatercrystals.com/decorations.html,worldoffemale.com,Branded,christmaslightsetc.com,,,
41739,Obsidianedge (Marketing Nomads),CON143032 Christmas Light Etc. May 16,lcolarado1,Budget,41739 - # Ways to Light Up a Patriotic Theme Party,"500 words. Create 3 to 6 ideas to decorate for Memorial Day, 4th of July, or even a coming home celebration for a returning soldier. People of all ages enjoy having Memorial Day and 4th of July parties in order to celebrate being an American, or to show appreciation for someone who&#039;s served. Focus on using red, white, and blue lighting to bring home the feeling of the Stars and Stripes. The URL links to the client&#039;s main page. Anchor the link in a sentence about using patriotic themed lights such as flags and stars to punctuate the reason for the celebration. Your target audience is interested in DIY and lifestyle tips and information. ",http://www.thecountrychiccottage.net/2014/06/patriotic-mason-jar-centerpiece.html,http://houseologie.com/patriotic-party-lights/,http://www.lightsforalloccasions.com/c-206-patriotic-lights.aspx,heartfeltbalancehandmadelife.com,Branded,christmaslightsetc.com,,,
41740,Obsidianedge (Marketing Nomads),CON143032 Christmas Light Etc. May 16,lcolarado1,Budget,41740 - # Ideas for Lighting a Baby's Room,"500 words. Come up with 3 to 6 ideas for lighting a nursery in ways that are soothing and pleasant for the occupant. Parents use all types of lighting throughout the day whether it&#039;s for changing a diaper, cleaning the room, or leaving on a night light for comfort. Appeal to parents who have their first child or parents looking to change things up after having a second child. The target URL goes to the client&#039;s main page, so be sure to anchor the URL into a sentence discussing using LED rope light to &quot;write&quot; the child&#039;s name for the wall.",http://www.creative-baby-nursery-rooms.com/baby-nursery-lighting.html,http://pophomedecor.com/very-cute-baby-room-lighting-ideas-pictures-2016.html/glamorous-ideas-for-nursery-lighting-cute-baby-room-lighting-ideas-models-samples-2015-2016,http://www.myhomeideas.com/how-to/household-basics/baby-room-lighting,ashleysuzanne.com,Branded,christmaslightsetc.com,,,
41741,Obsidianedge (Marketing Nomads),CON143032 Christmas Light Etc. May 16,lcolarado1,Budget,41741 - # Ways to Create a Vintage Look for Your Next Party,"500 words. Some types of lights are associated with a certain time period or retro theme. For example: globe lights are excellent for creating a carnival-of-yesteryear effect when strung in criss-cross patterns across a space. Another idea is using shaped lights to make a tiki-hut look for the bar at a Hawaiian-themed party. Separate this information into 3-6 subheaders. Appeal to those who are in their 30s and 40s. This age group is starting to experience nostalgia for a different time, and a theme party is perfect. The anchor text goes to the main page of the client&#039;s site, so link the URL in a sentence about using decorative lighting.",http://www.themepartiesnmore.com/theme_60s.html,https://ideas.evite.com/themes/60s-party-guide/,http://party-inspirations.com/70s-theme-party-supplies-and-ideas/,ritareviews.net,Branded,christmaslightsetc.com,,,
41742,Obsidianedge (Marketing Nomads),CON143032 Christmas Light Etc. May 16,lcolarado1,Budget,41742 - # Ways to Add Sparkle to Your Christmas Outfit,"500 words. Create a fashion article that gives 3-6 ideas on how to add sparkle to a fun Christmas outfit. Some ideas include attaching sequins to a jacket or bag, using Mod Podge to make shoes glittery, and choosing jewelry and accessories that are shiny. Include the client link in a paragraph about adding Christmas lights to your outfit for a wow factor. Your audience is people who are fashion forward and on trend.",http://www.ebay.com/gds/7-Ways-to-Add-Sparkle-to-Your-New-Years-Eve-Outfit-/10000000190402419/g.html,https://youlookfab.com/2011/11/21/12-ways-to-add-sparkle-to-a-holiday-outfit/,"http://www.vogue.com.au/blogs/spy+style/how+to+add+sparkle+to+your+everyday+look,30013",fashionfresta.com,Branded,christmaslightsetc.com,,,
41743,Obsidianedge (Marketing Nomads),CON143032 Christmas Light Etc. May 16,lcolarado1,Budget,41743 - # Ideas to Decorate a New York Apartment for Christmas,"500 words. Explain that New York City is known for its small and expensive apartments. Then, list 3-6 ideas on how to make a small apartment look great for Christmas without adding too much clutter. For instance, one paragraph can be about creating a Christmas tree out of Christmas lights in a window since there isn&#039;t room for an actual tree. This is the perfect place to include the client link. Your audience is people who live in NY or want to know more about the lifestyle.",http://www.elledecor.com/design-decorate/g22/holiday-decor-small-space/,http://www.bhg.com/christmas/decorating/holiday-decorating-ideas-small-spaces/,http://www.apartmenttherapy.com/10-christmas-decorating-ideas-for-small-spaces-197797,tracysnewyorklife.com,Branded,christmaslightsetc.com,,,
41744,Obsidianedge (Marketing Nomads),CON143032 Christmas Light Etc. May 16,lcolarado1,Budget,41744 - Decorating for Christmas Without Using Red or Green,"500 words. List 3-6 color schemes that look great at Christmas that are not red and green. For instance, lots of people like to decorate in frosty blue with snowmen and winter scenes. Others use gold and silver.  You can give ideas for using lights, decorating the tree, outdoor decor etc. It should be easy to include the client link in any of your paragraphs while mentioning strung lights. Make sure that the link appears naturally. Your audience is interested in home decor and this piece will be placed on a site for housewives.",http://hotpads.com/blog/decorate-christmas-without-using-red-green/,http://www.houzz.com/ideabooks/5167051/list/15-spectacular-christmas-palettes-beyond-red-and-green,http://www.thehouseofsmiths.com/2010/11/blue-green-white-and-silver-christmas.html,thefashionablehousewife.com,Branded,christmaslightsetc.com,,,
